id,name,published_date,description,geography,source_url,topics,sectors,status,updated_date
CCLW.document.i00000010.n0000,Just Energy Transition Investment Plan,2022-04-11 00:00:00+00:00,"The Just Energy Transition Investment Plan sets out the investments required between 2023-2027 to achieve South Africa's decarbonisation commitments in its NDC (2021). The preamble of the Plan states that it ""gives effect"" to the Just Energy Transition Partnership agreed at COP26 between South Africa and the governments of France, Germany, United Kingdom, United States and the European Union. The Plan was developed along the Just Transition Framework. The Plan covers the electricity sector, new energy vehicle sector, green hydrogen sector, cross-cutting investments and also sets out policies relating to financing and implementing the Plan.&nbsp;
",south africa,https://pccommissionflo.imgix.net/uploads/images/South-Africas-Just-Energy-Transition-Investment-Plan-JET-IP-2023-2027-FINAL.pdf,"[""mitigation""]",water,active,2025-04-04 02:50:12.956000+00:00
CCLW.document.i00000796.n0000,"Natural Disaster Management Act, 1998 (No. 21 of 1998)",,"This Act makes provision for measures to better manage the state of calamity caused by a natural disaster. It provides for the establishment of the National Disaster Management Council, the National Disaster Management Office and the National Emergency Operation Centre and for the appointment of the National Disaster Controller, the National Disaster Co-ordinator and the Disaster Service Liaison Officer.
",fiji,https://www.laws.gov.fj/Acts/DisplayAct/733,"[""adaptation"",""disaster risk management""]",health,active,2025-03-03 10:59:53.464000+00:00
CCLW.document.i00000011.n0000,Just Energy Transition Investment Plan,,"The Just Energy Transition Investment Plan sets out the investments required between 2023-2027 to achieve South Africa's decarbonisation commitments in its NDC (2021). The preamble of the Plan states that it ""gives effect"" to the Just Energy Transition Partnership agreed at COP26 between South Africa and the governments of France, Germany, United Kingdom, United States and the European Union. The Plan covers the electricity sector, new energy vehicle sector, green hydrogen sector, cross-cutting investments and also sets out policies relating to financing and implementing the Plan. The Plan was developed along the Just Transition Framework.
",south africa,https://pccommissionflo.imgix.net/uploads/images/South-Africas-Just-Energy-Transition-Investment-Plan-JET-IP-2023-2027-FINAL.pdf,"[""mitigation""]",agriculture,active,2025-03-22 12:37:49.347000+00:00
CCLW.document.i00001293.n0000,Zimbabwe Vision 2030,2020-01-09 00:00:00+00:00,"Zimbabwe Vision 2030 embodies the aspirations towards a Prosperous Upper Middle-Income Nation by 2030, in line with the Sustainable Development Goals and African Union Agenda 2063. It provides for plans to partner with development partners to “broaden climate change mitigation and adaptation activities to include critical elements such as water management and harvesting measures to mitigate the effects of drought, respect for biodiversity and wetland management issues.”

",zimbabwe,https://faolex.fao.org/docs/pdf/zim203768.pdf,"[""mitigation"",""adaptation""]",transportation,inactive,2025-03-24 23:51:26.966000+00:00
CCLW.document.i00000344.n0000,National Climate Agreement (Klimaatakkoord),,"The National Climate Agreement builds on the Energy Accord, but rather than focusing solely on energy policy, it addresses all greenhouse gas emissions. In 2023 the emission reduction targets of the National Climate Agreement were further hardened through the Coalition Agreement 2021-2025. In order to achieve these targets, additional measures were introduced in “Sharp targets, sharp choices”, a report one national climate policy for 2030 and 2050, which included the following commitments:
The 2019 agreement set out a strategy to achieve 49% reduction of CO2 emissions by 2030 compared to 1990 levels, and 95% by 2050. The new and hardened target of the National Climate Agreement contains a net zero pledge. The goal is to be climate-neutral by 2050 at the latest, and achieve a 55% reduction in CO2 emissions by 2030 compared to 1990 levels. In order to achieve the ambition for 2030 the target for policy is focused on reducing CO2 emissions by 60% in 2030. To meet this end, the government also presented an additional climate package on the 26th of April, 2023. This includes a €35 billion climate and transition fund for the next 10 years.
Overall, the National Climate Agreement came as a response to the Urgenda case and in parallel to the Climate Act. It details agreements made with the following sectors: electricity, industry, built environment, traffic and transport, and agriculture. The Agreement also introduces a carbon tax, applicable to industry and levied against emissions that exceed the EU ETS Benchmarks (after the deduction of a predefined reduction path). The tax applies to all installations in the EU ETS, as well as waste incinerators and large emitters of non-CO2 GhGs, such as N2). The CO2 tax levy will start at €30/t CO2 in 2021 and will increase each year by €10.56, up to a rate of €125/t CO2 in 2030. The annual additional costs associated with the Climate Agreement are estimated to be less than 0.5% of GDP in 2030.
The National Climate Agreement contains commitments with five sectors on the measures they will take over the next 10 years and beyond to meet climate targets. The following targets are decided upon per sector:

Electricity: in 2030 the Netherlands want 70% of all electricity to come from wind turbines on sea and land, and solar panels on roofs and solar parks. By 2050 the Netherlands wants to be completely free from fossil fuels, like coal and gas&nbsp;
Industry: by 2050 the industry is circular, and “emits virtually no more greenhouse gases”
Mobility: by 2050 Dutch traffic and all transport will no longer emit harmful exhaust gases and CO2
The built environment: by 2050, 7 million homes and 1 million buildings need to be off natural gas
Agriculture and land-use: by 2050, agriculture and land-use will be climate neutral&nbsp;

",netherlands,https://open.overheid.nl/documenten/ronl-bc161bc1-4cb6-4f50-919a-8a1e14e58c01/pdf,"[""adaptation"",""mitigation""]","agriculture, water",inactive,2025-02-10 09:00:25.604000+00:00
CCLW.document.i00000910.n0000,Public Investment Fund Green Finance Framework,2022-01-02 00:00:00+00:00,"The Public Investment Fund (PIF) of Saudi Arabia has established a Green Finance Framework that sets out its strategy for contributing to the achievement of the country’s climate targets, including the development of renewable energy sources. The Framework sets out which projects are eligible for ‘green financing’, in line with international standards (such as the ICMA’s Green Bond Principles 2021).&nbsp;&nbsp;
",saudi arabia,https://www.pif.gov.sa/en/our-financials/green-finance-framework/,"[""mitigation""]","forestry, transportation",inactive,2025-02-24 07:50:39.924000+00:00
CCLW.document.i00001310.n0000,National Biodiversity Strategy and Action Plan,2014-01-08 00:00:00+00:00,"The National Biodiversity Strategy and Action Plan is a framework to guide the conservation and sustainable use of biodiversity and associated ecosystems in Zimbabwe from 2015 to 2020. It provides actions and strategies for ecosystem-based climate change mitigation and adaptation.

",zimbabwe,https://faolex.fao.org/docs/pdf/zim163434.pdf,"[""adaptation"",""mitigation""]",agriculture,active,2025-02-04 13:43:05.375000+00:00
CCLW.document.i00000408.n0000,Regulation on Ozone-Depleting Substances ,2017-07-04 00:00:00+00:00,"This document seeks to enforce regulating mechanisms on the use and destruction of substances that deplete the ozone layer. It is enlisted as one of the relevant laws contributing to climate change mitigation in Turkey’s 2023 Nationally Determined Contributions (NDC).&nbsp;&nbsp;
",turkey,https://faolex.fao.org/docs/pdf/tur171509.pdf,[],"agriculture, forestry",active,2025-03-31 17:59:33.226000+00:00
CCLW.document.i00000263.n0000,Electricity Act,,"The Electricity Act (E-Act) 1998 is an important basis for the creation of the electricity market in the Netherlands. By establishing this market, producers and suppliers of electricity were able to offer electricity on a market.On April 9, 2018, the Energy Transition Act (wet VET) was adopted to amend the 1998 document and the Gas Act. The objective of this Act is to make the uptake of renewable energies in the country easier by reviewing extensively and in much detail the previous legal framework.The Act allowed for distribution companies and large consumers could buy electricity from generators other than the local one. While the Act limited large-scale production to the existing generators, it also allowed self-generation by industry and CHP production by industrial firms or by joint ventures involving distribution companies. The Act forced distribution companies to take in all electricity that was locally generated and supplied to them, and to pay a feed-in tariff essentially equal to the avoided costs.The E-Act also established, as of August 1, 1998, DTe, the independent regulator for the energy sector, as a chamber of the Dutch competition authority NMa. DTe was charged with supervising the sector and had the responsibility to guarantee non-discriminatory access to the grid for generators and to regulate the prices of the captive end users. The law forced energy companies to split their tariffs into network tariffs (including systems services) and tariffs for energy use as of the year 2000. DTe regulated the network tariffs and the final tariffs of the captive users, with the law imposing an RPI-X formula and the '1996=2000 principle' stating that overall prices in the year 2000 could not be higher than those that prevailed in 1996.As of 1 April 2014, the regulation for the feed-in tariff (SDE+) for 2014 has opened. This regulation includes the following features: a budget ceiling is established for all types of renewable energy such as wind, geothermal, solar photovoltaic, biomass and hydro phased opening a ‘free category' to enhance investments in certain technologies; feed-in tariff granted for a certain period (5, 12 or 15 years); a maximum subsidy amount for the Netherlands, to be determined annually (EUR3.5bn, USD5.4bn in 2014).Since its introduction in 1998 several amendments have been made to incorporate new elements such as the transposition of EU Directives. Several changes have been introduced in the E- Act in 2010, such as smart metering and congestion management rules for electricity) in order to improve the Dutch energy market.&nbsp;
New Energy Act 
Currently, a bill for a new Energy Act has been proposed to the Dutch parliament, which will be the legal foundation of the Dutch energy transition. This Act is now under discussion in the House of Representatives (Second Chamber) before it will be proposed to the Senate, who can either adopt or reject the bill. It will replace the current Gas Act and Electricity Act 1998, and provides a future-proof legislative framework for the energy transition, aimed at modernising and updating the regulative framework for electricity and gas. It also re-implements the EU Clean Energy Package (Directive 2019/944 on common rules for the internal market in electricity). &nbsp;
",netherlands,https://zoek.officielebekendmakingen.nl/stb-2020-236.pdf,"[""mitigation""]","finance, energy",active,2025-03-14 21:17:08.381000+00:00
CCLW.document.i00000012.n0000,Just Transition Framework for South Africa,2020-09-09 00:00:00+00:00,"At its Sixth Meeting held on 27 May 2022, the Presidential Climate Commission (PCCC) adopted the Just Transition Framework. A final version was published in July 2022, with policy recommendations. According to the PCC, the Just Transition Framework is a planning tool for achieving a just transition in South Africa, setting out the actions that the government and its social partners will take to achieve a just transition, and the outcomes to be realised in the short, medium, and long term. The Just Transition Framework is organised into seven main actions: (1) Foundations on which the framework builds; (2) Definition of a Just Transition for South Africa; (3) Principles to guide the transition; (4) At-risk sectors and value chains; (5) Key policy areas to give effect to the transition; (6) Effective governance arrangements; (7) Financing a Just Transition.
",south africa,https://pccommissionflo.imgix.net/uploads/images/A-Just-Transition-Framework-for-South-Africa-2022.pdf,[],forestry,active,2025-02-27 17:35:26.876000+00:00
